Columna;Descripcion
fecha;La fecha del pronostico.
indicativo;Estacion meteorologica
p_mes;La precipitacion media mensual
p_max;La precipitacion maxima y dia
w_med;La velocidad media del viento
w_racha;La racha maxima de viento y el dia.
hr;La humedad relativa media (%)
tm_mes;La temperatura media del aire.
tm_max;La temperatura maxima media del aire
tm_min;La temperatura minima media del aire
q_med;La humedad media
q_max;La humedad maxima media 
q_min;La humedad minima prevista para el dia.
n_cub;El porcentaje medio de cobertura nubosa